id,ACCOUNTID,TRANSACTIONID,BALANCE,TRANSACTIONTYPEID,CLASSIFICATIONID,PASSID,comments,OClassificationid
1,891272,1,0.0,2,None,None,None,None
2,567538,2,0.0,2,None,None,None,None
3,500724,3,0.0,2,None,None,None,None
4,914466,4,0.0,2,None,None,None,None
5,783774,5,0.0,2,None,None,None,None
6,663702,6,0.0,2,None,None,None,None
7,636714,7,0.0,2,None,None,None,None
8,878538,8,0.0,2,None,None,None,None
9,450148,9,0.0,2,None,None,None,None
10,839923,10,0.0,2,None,None,None,None
11,891150,11,0.0,2,None,None,None,None
12,620127,12,0.0,2,None,None,None,None
13,212335,13,0.0,2,None,None,None,None
14,893318,14,0.0,2,None,None,None,None
15,524070,15,0.0,2,None,None,None,None
16,763673,16,0.0,2,None,None,None,None
17,115528,17,0.0,2,None,None,None,None
18,220113,18,0.0,2,None,None,None,None
19,478877,19,0.0,2,None,None,None,None
20,554762,20,0.0,2,None,None,None,None
21,871572,21,0.0,2,None,None,None,None
22,672289,22,0.0,2,None,None,None,None
23,768282,23,0.0,2,None,None,None,None
24,393938,24,0.0,2,None,None,None,None
25,345727,25,0.0,2,None,None,None,None
26,954873,26,0.0,2,None,None,None,None
27,932991,27,0.0,2,None,None,None,None
28,184756,28,0.0,2,None,None,None,None
29,967879,29,0.0,2,None,None,None,None
30,393851,30,0.0,2,None,None,None,None
31,470262,31,0.0,2,None,None,None,None
32,305156,32,0.0,2,None,None,None,None
33,589197,33,0.0,2,None,None,None,None
34,371491,34,0.0,2,None,None,None,None
35,923660,35,0.0,2,None,None,None,None
36,125917,36,0.0,2,None,None,None,None
37,308183,37,0.0,2,None,None,None,None
38,918862,38,0.0,2,None,None,None,None
39,880727,39,0.0,2,None,None,None,None
40,712159,40,0.0,2,None,None,None,None
41,918519,41,0.0,2,None,None,None,None
42,150467,42,0.0,2,None,None,None,None
43,936179,43,0.0,2,None,None,None,None
44,699610,44,0.0,2,None,None,None,None
45,236879,45,0.0,2,None,None,None,None
46,237738,46,0.0,2,None,None,None,None
47,518505,47,0.0,2,None,None,None,None
48,166202,48,0.0,2,None,None,None,None
49,697202,49,0.0,2,None,None,None,None
50,873515,50,0.0,2,None,None,None,None
51,491731,51,0.0,2,None,None,None,None
52,306189,52,0.0,2,None,None,None,None
53,943992,53,0.0,2,None,None,None,None
54,163625,54,0.0,2,None,None,None,None
55,826972,55,0.0,2,None,None,None,None
56,941307,56,0.0,2,None,None,None,None
57,467280,57,0.0,2,None,None,None,None
58,624937,58,0.0,2,None,None,None,None
59,518480,59,0.0,2,None,None,None,None
60,936429,60,0.0,2,None,None,None,None
61,828379,61,0.0,2,None,None,None,None
62,203790,62,0.0,2,None,None,None,None
63,165101,63,0.0,2,None,None,None,None
64,420727,64,0.0,2,None,None,None,None
65,745558,65,0.0,2,None,None,None,None
66,781588,66,0.0,2,None,None,None,None
67,531934,67,0.0,2,None,None,None,None
68,471852,68,0.0,2,None,None,None,None
69,413103,69,0.0,2,None,None,None,None
70,268381,70,0.0,2,None,None,None,None
71,921658,71,0.0,2,None,None,None,None
72,988304,72,0.0,2,None,None,None,None
73,587734,73,0.0,2,None,None,None,None
74,751890,74,0.0,2,None,None,None,None
75,969725,75,0.0,2,None,None,None,None
76,708666,76,0.0,2,None,None,None,None
77,764406,77,0.0,2,None,None,None,None
78,874008,78,0.0,2,None,None,None,None
79,475510,79,0.0,2,None,None,None,None
80,960256,80,0.0,2,None,None,None,None
81,962257,81,0.0,2,None,None,None,None
82,940970,82,0.0,2,None,None,None,None
83,943072,83,0.0,2,None,None,None,None
84,749337,84,0.0,2,None,None,None,None
85,486555,85,0.0,2,None,None,None,None
86,930344,86,0.0,2,None,None,None,None
87,602125,87,0.0,2,None,None,None,None
88,752325,88,0.0,2,None,None,None,None
89,893766,89,0.0,2,None,None,None,None
90,624005,90,0.0,2,None,None,None,None
91,275651,91,0.0,2,None,None,None,None
92,908786,92,0.0,2,None,None,None,None
93,844747,93,0.0,2,None,None,None,None
94,627076,94,0.0,2,None,None,None,None
95,876359,95,0.0,2,None,None,None,None
96,192134,96,0.0,2,None,None,None,None
97,666203,97,0.0,2,None,None,None,None
98,674477,98,0.0,2,None,None,None,None
99,418939,99,0.0,2,None,None,None,None
100,932297,100,0.0,2,None,None,None,None
101,891272,101,6577.33333333,2,None,None,None,None
102,567538,102,9381.0,2,None,None,None,None
103,500724,103,4996.33333333,2,None,None,None,None
104,914466,104,22797.6666667,2,None,None,None,None
105,783774,105,14974.3333333,2,None,None,None,None
106,663702,106,19314.3333333,2,None,None,None,None
107,636714,107,18064.6666667,2,None,None,None,None
108,878538,108,3737.33333333,2,None,None,None,None
109,450148,109,7666.33333333,2,None,None,None,None
110,839923,110,15211.6666667,2,None,None,None,None
111,891150,111,23410.6666667,2,None,None,None,None
112,620127,112,19674.0,2,None,None,None,None
113,212335,113,16678.0,2,None,None,None,None
114,893318,114,9891.66666667,2,None,None,None,None
115,524070,115,21613.3333333,2,None,None,None,None
116,763673,116,8881.66666667,2,None,None,None,None
117,115528,117,14614.6666667,2,None,None,None,None
118,220113,118,17716.0,2,None,None,None,None
119,478877,119,7216.33333333,2,None,None,None,None
120,554762,120,30335.6666667,2,None,None,None,None
121,871572,121,15124.3333333,2,None,None,None,None
122,672289,122,23999.3333333,2,None,None,None,None
123,768282,123,21812.6666667,2,None,None,None,None
124,393938,124,10127.0,2,None,None,None,None
125,345727,125,13468.6666667,2,None,None,None,None
126,954873,126,24961.3333333,2,None,None,None,None
127,932991,127,30153.6666667,2,None,None,None,None
128,184756,128,16971.0,2,None,None,None,None
129,967879,129,8067.0,2,None,None,None,None
130,393851,130,16302.3333333,2,None,None,None,None
131,470262,131,24488.3333333,2,None,None,None,None
132,305156,132,28168.0,2,None,None,None,None
133,589197,133,11707.6666667,2,None,None,None,None
134,371491,134,32591.3333333,2,None,None,None,None
135,923660,135,7820.66666667,2,None,None,None,None
136,125917,136,27069.0,2,None,None,None,None
137,308183,137,9019.66666667,2,None,None,None,None
138,918862,138,28016.0,2,None,None,None,None
139,880727,139,16167.3333333,2,None,None,None,None
140,712159,140,30531.0,2,None,None,None,None
141,918519,141,8413.66666667,2,None,None,None,None
142,150467,142,8381.33333333,2,None,None,None,None
143,936179,143,7829.33333333,2,None,None,None,None
144,699610,144,18310.0,2,None,None,None,None
145,236879,145,24704.0,2,None,None,None,None
146,237738,146,21686.0,2,None,None,None,None
147,518505,147,32532.3333333,2,None,None,None,None
148,166202,148,21342.3333333,2,None,None,None,None
149,697202,149,4051.66666667,2,None,None,None,None
150,873515,150,10117.3333333,2,None,None,None,None
151,491731,151,27849.6666667,2,None,None,None,None
152,306189,152,9105.0,2,None,None,None,None
153,943992,153,29896.0,2,None,None,None,None
154,163625,154,14151.6666667,2,None,None,None,None
155,826972,155,30520.6666667,2,None,None,None,None
156,941307,156,20243.3333333,2,None,None,None,None
157,467280,157,26505.6666667,2,None,None,None,None
158,624937,158,18041.6666667,2,None,None,None,None
159,518480,159,32565.6666667,2,None,None,None,None
160,936429,160,14354.0,2,None,None,None,None
161,828379,161,22540.3333333,2,None,None,None,None
162,203790,162,21684.6666667,2,None,None,None,None
163,165101,163,22297.6666667,2,None,None,None,None
164,420727,164,26298.6666667,2,None,None,None,None
165,745558,165,18038.0,2,None,None,None,None
166,781588,166,27139.0,2,None,None,None,None
167,531934,167,27731.3333333,2,None,None,None,None
168,471852,168,28387.0,2,None,None,None,None
169,413103,169,23860.6666667,2,None,None,None,None
170,268381,170,4751.66666667,2,None,None,None,None
171,921658,171,11558.3333333,2,None,None,None,None
172,988304,172,25556.6666667,2,None,None,None,None
173,587734,173,31061.6666667,2,None,None,None,None
174,751890,174,23673.3333333,2,None,None,None,None
175,969725,175,25838.3333333,2,None,None,None,None
176,708666,176,11611.0,2,None,None,None,None
177,764406,177,27461.3333333,2,None,None,None,None
178,874008,178,28421.6666667,2,None,None,None,None
179,475510,179,12053.0,2,None,None,None,None
180,960256,180,17186.3333333,2,None,None,None,None
181,962257,181,9831.33333333,2,None,None,None,None
182,940970,182,12734.6666667,2,None,None,None,None
183,943072,183,28641.3333333,2,None,None,None,None
184,749337,184,12486.6666667,2,None,None,None,None
185,486555,185,31678.0,2,None,None,None,None
186,930344,186,7661.66666667,2,None,None,None,None
187,602125,187,28768.0,2,None,None,None,None
188,752325,188,14439.0,2,None,None,None,None
189,893766,189,20956.6666667,2,None,None,None,None
190,624005,190,25453.3333333,2,None,None,None,None
191,275651,191,23216.0,2,None,None,None,None
192,908786,192,9301.0,2,None,None,None,None
193,844747,193,12227.6666667,2,None,None,None,None
194,627076,194,16890.0,2,None,None,None,None
195,876359,195,21146.6666667,2,None,None,None,None
196,192134,196,32622.6666667,2,None,None,None,None
197,666203,197,21710.0,2,None,None,None,None
198,674477,198,31867.6666667,2,None,None,None,None
199,418939,199,14802.3333333,2,None,None,None,None
200,932297,200,10282.3333333,2,None,None,None,None
201,908786,201,7533.81,1,None,None,None,None
202,941307,201,22010.5233333,2,None,None,None,None
203,491731,202,22279.7333333,1,None,None,None,None
204,954873,202,30531.2666667,2,None,None,None,None
205,627076,203,14018.7,1,None,None,None,None
206,413103,203,26731.9666667,2,None,None,None,None
207,275651,204,20894.4,1,None,None,None,None
208,954873,204,32852.8666667,2,None,None,None,None
209,236879,205,21986.56,1,None,None,None,None
210,943992,205,32613.44,2,None,None,None,None
211,413103,206,21385.5733333,1,None,None,None,None
212,306189,206,14451.3933333,2,None,None,None,None
213,893766,207,19070.5666667,1,None,None,None,None
214,268381,207,6637.76666667,2,None,None,None,None
215,936429,208,12631.52,1,None,None,None,None
216,871572,208,16846.8133333,2,None,None,None,None
217,393938,209,8101.6,1,None,None,None,None
218,620127,209,21699.4,2,None,None,None,None
219,763673,210,7993.5,1,None,None,None,None
220,918519,210,9301.83333333,2,None,None,None,None
221,236879,211,18468.7104,1,None,None,None,None
222,967879,211,11584.8496,2,None,None,None,None
223,891150,212,20367.28,1,None,None,None,None
224,941307,212,25053.91,2,None,None,None,None
225,203790,213,18431.9666667,1,None,None,None,None
226,212335,213,19930.7,2,None,None,None,None
227,918519,214,8278.63166667,1,None,None,None,None
228,237738,214,22709.2016667,2,None,None,None,None
229,602125,215,23014.4,1,None,None,None,None
230,763673,215,13747.1,2,None,None,None,None
231,873515,216,9206.77333333,1,None,None,None,None
232,880727,216,17077.8933333,2,None,None,None,None
233,567538,217,9374.03,1,None,None,None,None
234,9999999999,217,6.97,2,None,None,None,None
235,500724,218,4994.43333333,1,None,None,None,None
236,9999999999,218,8.87,2,None,None,None,None
237,783774,219,14959.7333333,1,None,None,None,None
238,9999999999,219,23.47,2,None,None,None,None
239,663702,220,10816.1733333,1,None,None,None,None
240,9999999999,220,8521.63,2,None,None,None,None
241,878538,221,3729.33333333,1,None,None,None,None
242,9999999999,221,8529.63,2,None,None,None,None
243,450148,222,7650.92333333,1,None,None,None,None
244,9999999999,222,8545.04,2,None,None,None,None
245,891150,223,19159.324,1,None,None,None,None
246,9999999999,223,9752.996,2,None,None,None,None
247,620127,224,21673.99,1,None,None,None,None
248,9999999999,224,9778.406,2,None,None,None,None
249,893318,225,9889.84666667,1,None,None,None,None
250,9999999999,225,9780.226,2,None,None,None,None
251,763673,226,13743.5,1,None,None,None,None
252,9999999999,226,9783.826,2,None,None,None,None
253,115528,227,14612.0666667,1,None,None,None,None
254,9999999999,227,9786.426,2,None,None,None,None
255,220113,228,17698.14,1,None,None,None,None
256,9999999999,228,9804.286,2,None,None,None,None
257,932991,229,30144.6666667,1,None,None,None,None
258,9999999999,229,9813.286,2,None,None,None,None
259,393851,230,16290.6333333,1,None,None,None,None
