yeartime,monthtime,customerid,amount,maxbalance,minbalance
2017,2,0,42729.0002169,None,None
2014,1,92,17131.4765634,18247.1426313,4333.36
2014,2,92,9447.80557619,19009.5589836,9708.5589836
2014,3,92,10517.7984407,19586.609176,10285.609176
2014,4,92,38195.1245415,49472.6922573,11277.5677159
2014,5,92,12063.7559411,44934.4652807,32870.7093396
2014,6,92,15842.7609288,38136.4483128,28835.4483128
2014,7,92,32754.8890177,62258.575411,31194.6863933
2014,8,92,10732.6567577,57900.4751322,44165.4039451
2014,9,92,26510.6065517,66528.6298735,40018.0233217
2014,10,92,25084.3899144,63166.9852576,40191.0134051
2014,11,92,20623.3195921,53691.937469,28615.8871572
2014,12,92,17571.3237957,45759.0965795,28187.7727837
2015,1,92,14953.8983616,37104.267552,18529.3558446
2015,2,92,17224.8907708,37815.2085493,26849.5342894
2015,3,92,31368.1903226,45560.4973091,17057.076377
2015,4,92,25282.3306232,57586.5276173,37096.507935
2015,5,92,37875.1570225,75705.1713653,37830.0143428
2015,6,92,9301.0,71149.6336915,54177.7342794
2015,7,92,16648.7854059,58533.0845005,24561.711862
2015,8,92,21300.0614323,41993.1938309,26842.15883
2015,9,92,9301.0,39436.3268402,29897.497799
2015,10,92,23232.0149663,41669.7185135,27738.7035473
2015,11,92,20569.9522157,44475.899476,32296.9281129
2015,12,92,18687.8526396,46916.4025975,28228.5499579
2016,1,92,20018.9562456,46011.2521398,25992.2958942
2016,2,92,15601.0101917,46011.9332111,36710.9332111
2016,3,92,26276.8134151,55383.1452536,33722.5387194
2016,4,92,24465.171882,54077.2514251,32918.440912
2016,5,92,17361.2019819,44185.0135864,23977.07719
2016,6,92,12145.3710946,33484.0061293,16044.1322724
2016,7,92,26620.8426466,41460.5855483,19423.4040858
2016,8,92,25098.9511797,52550.7475587,32728.8005111
2016,9,92,13314.2403432,46021.2450501,32448.3256403
2016,10,92,42923.1650788,58861.7456534,30381.843987
2016,11,92,22555.2581613,51780.584248,29225.3260866
2016,12,92,37458.7866618,52872.9215825,29855.2924473
2017,1,92,12929.424037,52344.1923666,35278.1493925
2017,2,92,5894.44106985,48774.0375979,32812.5464913
2014,1,93,19339.8834114,29338.1700781,9998.28666667
2014,2,93,17343.7068529,34725.7937542,19605.0869013
2014,3,93,12644.7895872,35142.9166747,12324.5343825
2014,4,93,12972.1530584,21759.4756772,8983.96728844
2014,5,93,20688.2537692,32835.3530308,14865.8378446
2014,6,93,12227.6666667,19494.8684975,7267.20183084
2014,7,93,29343.2673998,39160.7673853,12040.4999855
2014,8,93,32344.6499348,48136.231964,24214.5788273
2014,9,93,20137.8359895,45921.7003243,30970.2649702
2014,10,93,23550.8914366,39357.7209672,15806.8295306
2014,11,93,22163.9341805,43046.3777844,23068.8636268
2014,12,93,28966.8425172,35455.2852639,19612.6688556
2015,1,93,21027.0207741,36821.4059962,15794.3852221
2015,2,93,28337.278666,47146.5825001,33259.9705008
2015,3,93,21846.3409132,40034.2212883,15985.2404129
2015,4,93,34011.1822506,38069.4537317,16285.9381478
2015,5,93,28080.6930796,46821.7057683,28218.7038874
2015,6,93,27657.6603584,42139.5351915,21643.9334589
2015,7,93,19090.8640869,36708.2382814,21708.1295085
2015,8,93,32930.5694918,55285.9574324,22355.3879406
2015,9,93,33758.0845266,69437.4448603,50068.2602007
2015,10,93,32853.9425965,80089.9897955,52986.5956089
2015,11,93,15477.282659,75284.5904078,38708.120381
2015,12,93,12227.6666667,41361.0412551,29133.3745884
2016,1,93,27506.4022471,37791.8146522,21536.7390796
2016,2,93,12227.6666667,26206.3197031,13978.6530364
2016,3,93,19894.1857216,34508.3373521,16837.1516305
2016,4,93,12227.6666667,31312.7017912,14602.5648639
2016,5,93,24230.3989079,41878.0297476,23597.4280331
2016,6,93,25058.8116573,44796.575703,23763.1348255
2016,7,93,15155.5759073,39903.857507,27676.1908403
2016,8,93,12227.6666667,28688.452902,16460.7862354
2016,9,93,29381.953975,40101.2896533,19447.3446691
2016,10,93,29285.4434335,42929.5268574,13644.0834238
2016,11,93,14707.8742582,34011.900979,21784.2343124
2016,12,93,20637.850167,35863.3050598,15225.4548928
2017,1,93,17847.5889511,32456.2657562,14608.6768051
2017,2,93,0.0,31013.8163458,24138.7438939
2014,1,94,16890.0,22933.397992,6043.397992
2014,2,94,17910.2888774,25691.742837,8801.74283703
2014,3,94,22693.0021703,38223.4031066,15530.4009364
2014,4,94,23508.1990827,41763.41808,18255.2189973
2014,5,94,41386.0960195,48561.1562833,21161.9222761
2014,6,94,40185.4763952,62403.7508964,40971.879254
2014,7,94,22057.2814107,61155.6758784,36853.4092593
2014,8,94,28071.3900682,61698.564915,40343.6206475
2014,9,94,28255.2939415,60550.5522979,43660.5522979
2014,10,94,16890.0,41595.8872104,23079.3353304
2014,11,94,23070.9659296,28572.9649827,11449.2135557
2014,12,94,20365.7867839,25630.9385241,7581.69395503
2015,1,94,29810.6545174,33207.9127547,6103.93030432
2015,2,94,41327.1398878,46760.1049366,21076.0839315
2015,3,94,22950.3544284,50109.3782138,33219.3782138
2015,4,94,16890.0,36810.9549871,19920.9549871
2015,5,94,32481.8550632,54748.0556881,29535.8595991
2015,6,94,23498.3838769,39121.6293186,15623.2454417
2015,7,94,31147.9442339,45202.2478303,21132.365554
2015,8,94,32095.3181145,63611.3013767,35702.0624003
2015,9,94,40819.3077775,86440.7869315,60014.7002824
2015,10,94,21895.2805912,83984.8267652,67094.8267652
2015,11,94,38287.9026774,52721.2592365,19871.5874648
2015,12,94,22274.9241237,41567.5195049,23366.9924406
2016,1,94,29804.7892665,48096.9231703,22446.1644398
2016,2,94,33784.1201392,70852.3823682,46947.4614725
2016,3,94,24126.2679877,78088.6503559,40613.1095188
2016,4,94,32209.1380342,51654.7048128,24961.3594218
2016,5,94,29615.7253839,66509.0132127,40374.5917179
2016,6,94,30303.2094724,74865.0998477,36020.5436965
2016,7,94,16890.0,57309.5729446,40419.5729446
2016,8,94,23661.1280973,46149.0994021,16843.9794615
2016,9,94,16890.0,28428.1380539,11538.1380539
2016,10,94,23204.8304887,36563.3902792,16041.2948286
2016,11,94,32002.0729041,46072.9533973,18126.5578344
2016,12,94,41939.5759571,51637.9104863,20889.010748
2017,1,94,24256.0085823,51816.4567433,30466.4440078
2017,2,94,10981.9271971,37035.4579927,26053.5307956
2014,1,95,33019.8592365,46791.4278365,15053.6286
2014,2,95,27929.4334111,47657.2285235,26356.5092851
2014,3,95,37791.490359,51191.4535135,26487.5804428
2014,4,95,31240.5306691,46625.043653,25478.3769863
2014,5,95,26958.546761,51436.9536073,24478.4068463
2014,6,95,40542.218708,61563.2091157,21321.3881901
2014,7,95,47171.1019651,55974.3820266,24908.8584572
2014,8,95,39849.5740449,52949.2995796,26195.1898097
2014,9,95,36061.8235563,61055.5163293,28878.5346829
2014,10,95,48229.1946386,91103.2218987,46718.0272601
2014,11,95,28982.6660976,78376.8102128,57230.1435461
2014,12,95,54587.6248906,88868.7093961,37536.3469231
2015,1,95,39875.5212939,78761.2272675,51665.4671094
2015,2,95,32675.8981074,70554.3721188,37878.4740115
2015,3,95,30934.6176947,65652.5944146,34717.9767199
2015,4,95,35363.7254401,67401.7180198,44199.9536701
2015,5,95,41534.7834131,64751.7851261,39464.1480095
2015,6,95,34892.7748667,51077.4925989,16184.7177322
2015,7,95,25889.4688964,44559.7681745,23413.1015078
2015,8,95,27590.1804806,32590.8946907,5531.69246931
2015,9,95,22672.483425,30755.6559996,9608.98933297
2015,10,95,33911.3721543,38047.7031717,10522.7104206
2015,11,95,42184.3914658,50442.6509114,20824.7635358
2015,12,95,55202.8381928,68719.4071483,22568.8182493
2016,1,95,35322.1124454,68032.2130768,37305.4326298
2016,2,95,21146.6666667,57369.8918276,36223.225161
2016,3,95,36197.6411631,54376.2894054,24508.1001926
2016,4,95,21706.321871,49705.8041672,27999.4822962
2016,5,95,28522.6915698,43285.8687268,14763.177157
2016,6,95,80135.1084992,70338.8975206,23447.9424311
2016,7,95,26068.9777937,63305.0077686,31520.9092023
2016,8,95,24408.7573641,46203.8060484,9886.3576754
2016,9,95,32479.6488831,43169.5621165,16253.6058173
