yeartime,monthtime,customerid,amount
2017,2,92,31189.4779142
2017,3,92,35871.8346254
2017,4,92,31534.9185828
2017,2,93,16648.0277082
2017,3,93,17326.1102952
2017,4,93,19448.7930762
2017,2,94,37947.2120938
2017,3,94,23477.2658054
2017,4,94,23754.303972
2017,2,95,6274.21115067
2017,3,95,22642.3309716
2017,4,95,7747.89908008
2017,2,96,50085.9394798
2017,3,96,55079.439714
2017,4,96,57741.0495797
2017,2,97,32089.7921848
2017,3,97,59923.3626831
2017,4,97,48833.0556279
2017,2,98,70124.591889
2017,3,98,55064.8422222
2017,4,98,60574.1995352
2017,2,99,48798.8053667
2017,3,99,31797.3110854
2017,4,99,27913.5519712
2017,2,100,10197.2520374
2017,3,100,26595.7927472
2017,4,100,11477.028722
2017,2,33,14614.8877243
2017,3,33,22467.9561982
2017,4,33,16055.4871534
2017,2,34,39101.0086552
2017,3,34,67901.9158762
2017,4,34,34947.6247713
2017,2,35,26549.0695966
2017,3,35,16641.1693532
2017,4,35,26019.6595687
2017,2,36,44511.0250761
2017,3,36,33235.0816438
2017,4,36,44602.5139981
2017,2,37,15391.7562065
2017,3,37,16321.6119332
2017,4,37,12953.0013435
2017,2,38,60434.0230175
2017,3,38,70278.1607574
2017,4,38,52713.7491641
2017,2,39,27768.2102518
2017,3,39,24564.9375794
2017,4,39,41580.4390692
2017,2,40,41721.695032
2017,3,40,55534.9822281
2017,4,40,43929.9563956
2017,2,41,30626.6510924
2017,3,41,16783.5816984
2017,4,41,12664.984693
2017,2,42,10589.2109605
2017,3,42,23206.7059402
2017,4,42,18871.2142935
2017,2,43,8423.68048704
2017,3,43,9596.32852468
2017,4,43,3254.0984207
2017,2,44,30736.9580539
2017,3,44,34726.9850226
2017,4,44,32264.3507243
2017,2,45,38166.9339018
2017,3,45,42151.068646
2017,4,45,37426.3891115
2017,2,46,35526.8219024
2017,3,46,26302.6666331
2017,4,46,45259.640441
2017,2,47,69335.2610521
2017,3,47,44556.2449788
2017,4,47,35918.2089987
2017,2,48,39326.216609
2017,3,48,52318.7604851
2017,4,48,41830.1965429
2017,2,49,29100.7900661
2017,3,49,20279.3293675
2017,4,49,38572.560692
2017,2,50,22758.0250064
2017,3,50,7892.87560606
2017,4,50,13899.9410404
2017,2,51,42041.3235115
2017,3,51,44606.9423435
2017,4,51,50681.2295685
2017,2,52,8473.40033043
2017,3,52,-7554.58475639
2017,4,52,-9511.52385485
2017,2,53,42903.3512245
2017,3,53,42903.3512245
2017,4,53,66821.1861922
2017,2,54,17858.635243
2017,3,54,18953.8540482
2017,4,54,14977.2998384
2017,2,55,32073.8503374
2017,3,55,38411.5555942
2017,4,55,38525.7534139
2017,2,56,33554.3306738
2017,3,56,36503.9789258
2017,4,56,40143.5274492
2017,2,57,31229.4226768
2017,3,57,45313.2535633
2017,4,57,33442.1150207
2017,2,58,25980.8115467
2017,3,58,33564.8139853
2017,4,58,35644.5852419
2017,2,59,43891.6207367
2017,3,59,71103.2178105
2017,4,59,49021.4037112
2017,2,60,29684.6161193
2017,3,60,28790.6244901
2017,4,60,30249.0220833
2017,2,61,23960.7472137
2017,3,61,27038.51802
2017,4,61,36686.2348583
2017,2,62,36209.7758979
2017,3,62,44409.223821
2017,4,62,30978.72626
2017,2,63,43528.0678356
2017,3,63,43075.2402259
2017,4,63,23710.2055889
2017,2,64,38595.8994682
2017,3,64,49662.0984346
2017,4,64,44163.1579104
2017,2,65,33890.816136
2017,3,65,37108.7430624
2017,4,65,21249.0383964
2017,2,66,28097.8644084
2017,3,66,27447.8790082
2017,4,66,38559.8644398
2017,2,67,37005.8847308
2017,3,67,28095.5598644
2017,4,67,26192.4715841
2017,2,68,59033.0781141
2017,3,68,19682.4264226
2017,4,68,42524.7725239
2017,2,69,47276.4640222
2017,3,69,39319.0859227
2017,4,69,45487.9459941
2017,2,70,12617.4920867
2017,3,70,34353.1739284
2017,4,70,17436.9213921
2017,2,71,32714.7352955
2017,3,71,49676.0314512
2017,4,71,32904.4614363
2017,2,72,45470.4060179
2017,3,72,61416.8601943
2017,4,72,78148.9717157
2017,2,73,39639.3051354
2017,3,73,39472.158209
2017,4,73,32746.3583115
2017,2,74,20999.0373434
2017,3,74,31464.4001395
2017,4,74,33880.7122534
2017,2,75,21571.9005487
2017,3,75,21761.9896979
2017,4,75,26993.7281717
2017,2,76,17077.0365653
2017,3,76,42269.1421723
2017,4,76,18915.3067446
2017,2,77,34789.4835521
2017,3,77,26763.317175
2017,4,77,38588.5158354
2017,2,78,46058.5162406
2017,3,78,48381.8445756
2017,4,78,36116.7637501
2017,2,79,15727.0182045
2017,3,79,22553.6754491
2017,4,79,34784.552039
2017,2,80,35016.8280238
2017,3,80,35048.7609196
2017,4,80,36627.6315738
2017,2,81,23510.4594603
2017,3,81,33585.2060414
2017,4,81,17254.3672981
2017,2,82,19111.1872168
2017,3,82,32126.3820232
2017,4,82,20521.5981808
2017,2,83,43593.868685
2017,3,83,40287.5256567
2017,4,83,34190.2463025
2017,2,84,27084.4487847
2017,3,84,41585.2351095
2017,4,84,41847.0363308
2017,2,85,35744.3322752
2017,3,85,54308.0121865
2017,4,85,31678.0
2017,2,86,37704.4087677
2017,3,86,31257.0921517
2017,4,86,40577.9062431
2017,2,87,33953.1004227
2017,3,87,30545.7334949
2017,4,87,36001.5563601
2017,2,88,36966.371945
2017,3,88,28541.0991938
2017,4,88,30828.2095301
2017,2,89,34976.281532
2017,3,89,52374.918916
2017,4,89,32031.3215661
2017,2,90,62802.1004515
2017,3,90,97883.7942087
2017,4,90,69346.5271821
2017,2,1,25188.6445392
2017,3,1,27857.2737369
2017,4,1,37869.5999711
2017,2,2,24527.532555
2017,3,2,15054.839663
2017,4,2,17331.5994724
2017,2,3,19623.3748575
2017,3,3,18889.2228535
2017,4,3,25091.3055889
2017,2,4,37579.7769167
2017,3,4,30828.0191786
2017,4,4,34833.8435
2017,2,5,22525.2119678
2017,3,5,33839.7817451
2017,4,5,26270.7593902
2017,2,6,23172.0361748
2017,3,6,22128.6743472
2017,4,6,25812.9337567
2017,2,7,27875.6966672
2017,3,7,63774.1571906
2017,4,7,44998.7044022
2017,2,8,19512.5776753
2017,3,8,11735.771166
2017,4,8,15512.4144346
2017,2,9,37577.6921173
2017,3,9,47524.1977623
2017,4,9,38757.232353
2017,2,10,33590.5259513
2017,3,10,28498.9177462
2017,4,10,32312.3118893
2017,2,11,43345.9860466
2017,3,11,39666.0845578
2017,4,11,29805.5838469
2017,2,12,18170.8863357
2017,3,12,32508.0662105
2017,4,12,40989.1261833
2017,2,13,34685.6330615
2017,3,13,32892.5122504
2017,4,13,38385.483693
2017,2,14,16798.4942223
2017,3,14,33097.620992
2017,4,14,12788.0952731
2017,2,15,8403.97614978
2017,3,15,11170.1357555
2017,4,15,3350.06734254
2017,2,16,18013.0980872
2017,3,16,21260.441721
2017,4,16,3796.86660278
2017,2,17,20572.267107
2017,3,17,16427.4743824
2017,4,17,38122.5176935
2017,2,18,45461.1809129
2017,3,18,54537.9300782
2017,4,18,51995.7388479
2017,2,19,36833.8333255
2017,3,19,47842.4328936
2017,4,19,43696.8422628
2017,2,20,57001.4699799
2017,3,20,45971.7062237
2017,4,20,49269.6397642
2017,2,21,55194.4503882
2017,3,21,63672.9751016
2017,4,21,54457.01589
2017,2,22,36459.4675941
2017,3,22,68577.7158566
2017,4,22,53073.6137184
2017,2,23,30106.4428472
2017,3,23,68627.8159666
2017,4,23,49731.0778487
2017,2,24,39247.9796555
2017,3,24,21217.9807236
2017,4,24,23343.0423329
2017,2,25,28793.3160235
2017,3,25,27284.7468237
2017,4,25,26848.1966626
2017,2,26,24961.3333333
2017,3,26,32910.3541269
2017,4,26,26878.8967701
2017,2,27,33512.1635185
2017,3,27,50130.635477
2017,4,27,36254.1433371
2017,2,28,10567.1685499
2017,3,28,18824.5765102
2017,4,28,45307.9829242
2017,2,29,13117.2275244
2017,3,29,40430.9311286
2017,4,29,12248.587038
2017,2,30,25439.8655516
2017,3,30,26244.4602548
2017,4,30,31301.5289021
2017,2,31,29030.2372338
2017,3,31,33417.093681
2017,4,31,30301.0565824
2017,2,32,42947.2334282
2017,3,32,29988.3075798
2017,4,32,33776.7319043
