yeartime,monthtime,customerid,amount
2013,12,92,14.0
2014,1,92,10933.6239321
2014,2,92,13194.8692239
2014,3,92,15427.3282483
2014,4,92,12817.5214601
2014,5,92,27182.9634042
2014,6,92,22281.8774102
2014,7,92,18726.7777429
2014,8,92,25152.4282237
2014,9,92,17975.8606233
2014,10,92,35392.1417159
2014,11,92,55092.0528925
2014,12,92,14236.5943735
2015,1,92,33504.9079226
2015,2,92,17896.552686
2015,3,92,28864.4615628
2015,4,92,18192.6506516
2015,5,92,25385.1132745
2015,6,92,26028.9170859
2015,7,92,49051.5709386
2015,8,92,20497.8963481
2015,9,92,20577.1038574
2015,10,92,31011.0028209
2015,11,92,20874.3328161
2015,12,92,21613.4217391
2016,1,92,26521.7067032
2016,2,92,20118.8091204
2016,3,92,21229.0613726
2016,4,92,35555.8848873
2016,5,92,32131.9469658
2016,6,92,32634.9979942
2016,7,92,16159.9893707
2016,8,92,18516.2691693
2016,9,92,28640.1422616
2016,10,92,40494.718011
2016,11,92,34188.8995667
2016,12,92,41096.9493273
2017,1,92,30379.5996083
2017,2,92,26053.1080899
2014,1,93,9421.854
2014,2,93,25112.5440832
2014,3,93,30101.4696976
2014,4,93,22253.6801525
2014,5,93,15200.0346935
2014,6,93,42320.7855999
2014,7,93,15583.328512
2014,8,93,30751.3853562
2014,9,93,38706.2657153
2014,10,93,35892.4896262
2014,11,93,26071.1096652
2014,12,93,50050.7768744
2015,1,93,25820.4000418
2015,2,93,25214.3180904
2015,3,93,43347.4340059
2015,4,93,39462.9775377
2015,5,93,22717.7703562
2015,6,93,48785.5090685
2015,7,93,25374.2318682
2015,8,93,21782.0503408
2015,9,93,33903.9847685
2015,10,93,35700.0976612
2015,11,93,56901.814138
2015,12,93,27717.3724593
2016,1,93,46695.1030676
2016,2,93,29770.1216158
2016,3,93,17246.5880726
2016,4,93,26094.2724882
2016,5,93,22355.3745738
2016,6,93,28106.2257019
2016,7,93,27438.4941034
2016,8,93,29394.0312716
2016,9,93,38038.5963803
2016,10,93,32779.3279119
2016,11,93,29588.4601366
2016,12,93,32348.1732436
2017,1,93,28407.2882547
2017,2,93,11258.0018622
2014,1,94,16096.502008
2014,2,94,23322.1440324
2014,3,94,19997.5419007
2014,4,94,28091.3841093
2014,5,94,43411.6536323
2014,6,94,36208.0817822
