SALARY,BALANCE,WIREINCNT,WIREIN,CASHINCNT,CASHIN,WIREOUTCNT,WIREOUT,CASHOUTCNT,CASHOUT,P1,P2,P3,P4
186520.0,1492160.0,2.0,186520.0,2.0,11191.2,6.0,179917.192,5.0,5595.6,0.0,1.0,0.0,0.0
341060.0,2728480.0,1.0,40927.2,1.0,27284.8,3.0,24965.592,3.0,12130.82208,0.0,0.0,0.0,0.0
97020.0,582120.0,2.0,90228.6,3.0,5821.2,8.0,115259.76,10.0,768.3984,0.0,1.0,0.0,0.0
335460.0,3019140.0,2.0,369006.0,1.0,10063.8,6.0,420767.478,9.0,416.97678,0.0,1.0,0.0,0.0
158828.0,317656.0,2.0,23824.2,2.0,1588.28,5.0,171534.24,8.0,254.1248,0.0,0.0,1.0,0.0
58316.0,291580.0,8.0,83391.88,4.0,4665.28,3.0,79251.444,1.0,8013.20156,0.0,0.0,1.0,1.0
367312.0,3673120.0,3.0,488524.96,1.0,3673.12,10.0,462666.1952,8.0,22038.72,0.0,1.0,0.0,0.0
359888.0,2159328.0,1.0,14395.52,1.0,3598.88,8.0,457057.76,6.0,6801.8832,0.0,0.0,1.0,0.0
190248.0,951240.0,5.0,213077.76,8.0,13317.36,2.0,178852.1448,3.0,45641.256192,0.0,0.0,1.0,1.0
372740.0,2236440.0,5.0,547927.8,6.0,52183.6,12.0,720133.68,5.0,21604.0104,0.0,0.0,0.0,1.0
172780.0,691120.0,1.0,243619.8,1.0,15550.2,9.0,264353.4,9.0,466.506,0.0,1.0,0.0,0.0
285644.0,1142576.0,3.0,345629.24,1.0,19995.08,10.0,369280.5632,4.0,365.62432,0.0,1.0,0.0,0.0
129488.0,906416.0,2.0,20718.08,3.0,3884.64,5.0,146321.44,7.0,1683.344,0.0,0.0,1.0,0.0
172296.0,1722960.0,3.0,8614.8,1.0,10337.76,1.0,5513.472,3.0,1054.45152,0.0,0.0,0.0,0.0
144636.0,1157088.0,5.0,159099.6,5.0,5785.44,2.0,130259.1816,2.0,34625.8584,0.0,0.0,1.0,1.0
314500.0,2201500.0,5.0,421430.0,4.0,31450.0,2.0,357775.2,3.0,88447.464,0.0,0.0,1.0,1.0
269856.0,1079424.0,2.0,29684.16,3.0,18889.92,2.0,19888.3872,3.0,6759.083232,0.0,0.0,0.0,0.0
128288.0,513152.0,1.0,17960.32,2.0,8980.16,3.0,14368.256,3.0,1472.74624,0.0,0.0,0.0,0.0
157780.0,1262240.0,5.0,162513.4,6.0,7889.0,3.0,148250.088,2.0,20380.12704,0.0,0.0,1.0,1.0
316080.0,1264320.0,1.0,357170.4,1.0,22125.6,6.0,436190.4,7.0,568.944,0.0,1.0,0.0,0.0
187412.0,374824.0,2.0,22489.44,2.0,1874.12,8.0,191160.24,6.0,149.9296,0.0,0.0,1.0,0.0
174800.0,349600.0,2.0,1748.0,1.0,13984.0,2.0,664.24,3.0,693.6064,0.0,0.0,0.0,0.0
143140.0,1145120.0,1.0,25765.2,2.0,8588.4,9.0,208984.4,9.0,2633.776,0.0,0.0,1.0,0.0
53684.0,429472.0,8.0,73547.08,7.0,8052.6,20.0,86495.6608,5.0,489.59808,0.0,0.0,0.0,1.0
232188.0,464376.0,1.0,37150.08,1.0,16253.16,2.0,19318.0416,1.0,10520.902656,0.0,0.0,0.0,0.0
81624.0,489744.0,6.0,117538.56,8.0,8978.64,15.0,134108.232,9.0,1062.74448,0.0,0.0,0.0,1.0
271028.0,2168224.0,3.0,24392.52,1.0,24392.52,1.0,10732.7088,1.0,9835.064064,0.0,0.0,0.0,0.0
363112.0,726224.0,6.0,544668.0,5.0,61729.04,8.0,697356.596,9.0,17282.31564,0.0,0.0,0.0,1.0
192112.0,1921120.0,10.0,199796.48,4.0,17290.08,2.0,210573.9632,3.0,5991.589056,0.0,0.0,1.0,1.0
172296.0,1378368.0,9.0,148174.56,5.0,32736.24,10.0,217092.96,7.0,4703.6808,0.0,0.0,0.0,1.0
227432.0,909728.0,2.0,20468.88,3.0,6822.96,4.0,227432.0,7.0,0.0,0.0,0.0,1.0,0.0
129444.0,1164996.0,6.0,130738.44,7.0,5177.76,2.0,111451.284,2.0,22752.37188,0.0,0.0,1.0,1.0
137932.0,1103456.0,9.0,97931.72,10.0,12413.88,2.0,99311.04,2.0,10041.4496,0.0,0.0,1.0,1.0
140748.0,1407480.0,2.0,156230.28,2.0,9852.36,7.0,149474.376,6.0,5629.92,0.0,1.0,0.0,0.0
205364.0,1437548.0,9.0,256705.0,8.0,12321.84,2.0,196389.5932,1.0,70458.129396,0.0,0.0,1.0,1.0
391096.0,2346576.0,1.0,43020.56,2.0,15643.84,4.0,441938.48,4.0,3050.5488,0.0,0.0,1.0,0.0
