customerid,income,spend,balance,wsenti,impact,classid,probab,param1,param2,param3,param4
1,25188.6445392,6970.38260628,42729.0002169,2.0,-1.0,1,0.40000000596,0.0,0.0,0.0,0.0
2,24527.532555,10664.1930648,54477.4422407,-2.0,-1.0,2,0.800000011921,0.0,0.0,0.0,1.0
3,19623.3748575,9236.97012769,21787.0790811,0.0,-3.0,1,0.600000023842,0.0,0.0,0.0,0.0
4,37579.7769167,35242.7541086,29332.4139095,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
5,22525.2119678,30914.1994227,43672.2829729,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
6,23172.0361748,35399.9853396,23353.1603153,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
7,27875.6966672,59313.2154411,14061.8394372,0.0,0.0,3,0.600000023842,0.0,0.0,1.0,0.0
8,19512.5776753,16838.8278594,62485.3678577,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
9,37577.6921173,13025.0465651,48571.4618077,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
10,33590.5259513,33026.4044504,70966.3324387,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
11,43345.9860466,44719.2365346,31605.3929932,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
12,18170.8863357,45197.6634122,60654.7980148,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
13,34685.6330615,46123.5244131,24122.5676368,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
14,16798.4942223,13814.5880791,6347.80349454,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
15,8403.97614978,75071.5619398,19663.3657915,0.0,0.0,3,0.800000011921,0.0,0.0,1.0,0.0
16,18013.0980872,21074.4594196,30548.5638941,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
17,20572.267107,26327.0884582,60937.1771171,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
18,45461.1809129,29200.6322672,55268.7033251,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
19,36833.8333255,37768.8448492,40042.9447037,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
