customerid,income,spend,balance,wsenti,impact,classid,probab,param1,param2,param3,param4
1,25188.6445392,6970.38441775,42729.0002169,2.0,-9.0,None,0.4,0.0,0.0,0.0,1.0
2,24527.5324215,10664.1921453,54477.4422407,0.0,-3.0,None,0.2,0.0,0.0,0.0,1.0
3,19623.4145616,9236.96982237,21787.0790811,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
8,19512.5809491,16838.8278594,62485.3678577,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
1,25188.6445392,6970.38441775,42729.0002169,2.0,-3.0,None,0.2,0.0,0.0,0.0,1.0
1,25188.6445392,6970.38441775,42729.0002169,-1.0,0.0,None,0.6,0.0,0.0,0.0,1.0
1,25188.6445392,6970.38441775,42729.0002169,-1.0,-3.0,None,0.8,0.0,0.0,0.0,1.0
2,24527.5324215,10664.1921453,61659.2504166,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
9,37577.6925071,13025.1014958,48571.4618077,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
49,29100.7900661,4328.30020387,43136.2525983,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
9,37577.6925071,13025.1014958,48571.4618077,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
2,24527.5324215,10664.1921453,61659.2504166,0.0,-3.0,None,0.2,0.0,0.0,0.0,1.0
7,27875.6966672,59313.0797786,10137.1800503,0.0,0.0,None,0.4,0.0,0.0,1.0,0.0
4,37579.7767519,35242.5629244,29332.4139095,0.0,0.0,None,0.4,0.0,0.0,0.0,0.0
13,34685.6330615,46123.5238103,16885.7973458,0.0,0.0,None,0.2,0.0,0.0,1.0,0.0
15,8404.0097014,75071.5581964,19270.0984757,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
15,8404.0097014,75071.5581964,19270.0984757,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
36,44511.0251321,66899.7512596,21477.3377721,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
47,69335.2788794,51375.8253538,1707.8914487,0.0,0.0,None,0.8,0.0,0.0,1.0,0.0
37,15391.7561556,3360.93531289,38428.1553408,0.0,0.0,None,0.2,0.0,0.0,1.0,0.0
37,15391.7561556,3360.93531289,38428.1553408,0.0,0.0,None,0.2,0.0,0.0,1.0,0.0
84,27084.4487847,29834.9237016,80567.1250569,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0
2,24527.5324215,10664.1921453,42383.9362966,0.0,-3.0,None,0.6,0.0,0.0,0.0,1.0
2,24527.5324215,10664.1921453,42383.9362966,0.0,-3.0,None,0.4,0.0,0.0,0.0,1.0
20,57001.4608981,24288.8589838,20317.5662631,5.0,0.0,None,0.6,0.0,1.0,0.0,1.0
